11/09/2017 Inter_net:::Banking cAIXA
https://internetbanking.caixa.gov.br/SIIBC/imprime_ext_periodo.processa?hdnDataInicio=01/08/2017&hdnDataFinal=31/08/2017 1/2
Extrato por período
Cliente: RESIDENCIAL XXXXXXXXXX
Conta: XXXX / XXX / XXXXXXXX-X
Data: 11/09/2017 - 15:15
Mês: Agosto/2017
Período: 1 - 31
Extrato
Data Mov. Nr. Doc. Histórico Valor Saldo
000000 SALDO ANTERIOR 0,00 15.151,95 C
01/08/2017 495490 PAG BOLETO 214,82 D 14.937,13 C
04/08/2017 291712 PAG BOLETO 7.143,14 D 7.793,99 C
04/08/2017 592566 ENVIO TEV 833,93 D 6.960,06 C
04/08/2017 759105 ENVIO TEV 145,79 D 6.814,27 C
07/08/2017 542278 PAG CARNES 514,15 D 6.300,12 C
07/08/2017 097301 ENVIO TEV 220,82 D 6.079,30 C
07/08/2017 301049 CHEQ COMP 113,03 D 5.966,27 C
07/08/2017 072017 DB CEST PJ 49,00 D 5.917,27 C
08/08/2017 040817 COB COMPE 1.206,67 C 7.123,94 C
08/08/2017 040817 COB AGN DH 1.206,67 C 8.330,61 C
08/08/2017 040817 COB LOT DH 1.428,09 C 9.758,70 C
08/08/2017 080817 COB LOTERI 5,90 D 9.752,80 C
08/08/2017 080817 COB AGENC 5,90 D 9.746,90 C
08/08/2017 080817 COB COMPE 5,90 D 9.741,00 C
09/08/2017 090817 COB BX 063 13,50 D 9.727,50 C
10/08/2017 080817 COB AGN DH 1.206,67 C 10.934,17 C
10/08/2017 202100 DB AT LUZ 383,68 D 10.550,49 C
10/08/2017 100817 COB AGENC 5,90 D 10.544,59 C
11/08/2017 090817 COB COMPE 1.276,67 C 11.821,26 C
11/08/2017 090817 COB AUTOAT 1.276,67 C 13.097,93 C
11/08/2017 110817 COB COMPE 5,90 D 13.092,03 C
11/08/2017 110817 COB AUTOAT 5,90 D 13.086,13 C
14/08/2017 100817 COB COMPE 9.849,05 C 22.935,18 C
14/08/2017 100817 COB LOT DH 1.206,67 C 24.141,85 C
14/08/2017 311811 PG ORG GOV 290,47 D 23.851,38 C
14/08/2017 415487 PAG DARF 399,98 D 23.451,40 C
14/08/2017 462975 PAG BOLETO 368,60 D 23.082,80 C
11/09/2017 Inter_net:::Banking cAIXA
https://internetbanking.caixa.gov.br/SIIBC/imprime_ext_periodo.processa?hdnDataInicio=01/08/2017&hdnDataFinal=31/08/2017 2/2
14/08/2017 815927 PAG GPS 482,55 D 22.600,25 C
14/08/2017 649315 ENVIO TEV 300,00 D 22.300,25 C
14/08/2017 143416 AGUA 16,36 D 22.283,89 C
14/08/2017 140817 COB LOTERI 5,90 D 22.277,99 C
14/08/2017 140817 COB COMPE 47,20 D 22.230,79 C
15/08/2017 102535 DEP CH 24H 1.206,68 C 23.437,47 C
15/08/2017 102535 DEP CH 24H 1.117,92 C 24.555,39 C
16/08/2017 102535 DEP CH 24H 4.974,07 C 29.529,46 C
16/08/2017 102535 DEP CH 24H 2.577,90 C 32.107,36 C
18/08/2017 157444 ENVIO TED 7.500,00 D 24.607,36 C
18/08/2017 157444 DOC/TED INTERNET 8,65 D 24.598,71 C
21/08/2017 119301 PAG BOLETO 385,10 D 24.213,61 C
21/08/2017 127825 PAG BOLETO 361,40 D 23.852,21 C
21/08/2017 350733 ENVIO TEV 280,00 D 23.572,21 C
25/08/2017 261519 PAG BOLETO 650,59 D 22.921,62 C
25/08/2017 264796 PAG BOLETO 459,13 D 22.462,49 C
25/08/2017 167384 ENVIO TED 7.500,00 D 14.962,49 C
25/08/2017 349817 ENVIO TEV 460,00 D 14.502,49 C
25/08/2017 167384 DOC/TED INTERNET 8,65 D 14.493,84 C
25/08/2017 000000 MANUT CTA 42,00 D 14.451,84 C
28/08/2017 487744 ENVIO TEV 830,00 D 13.621,84 C
29/08/2017 195667 PAG BOLETO 247,00 D 13.374,84 C
29/08/2017 197262 PAG BOLETO 455,33 D 12.919,51 C
29/08/2017 243848 ENVIO TEV 180,00 D 12.739,51 C
31/08/2017 102535 DEP CH 24H 3.818,92 C 16.558,43 C
31/08/2017 102535 DEP CH 24H 1.333,53 C 17.891,96 C
31/08/2017 310817 COB EMI047 1,50 D 17.890,46 C
SAC CAIXA: 0800 726 0101
Pessoas com deficiência aud itiva: 0800 726 2492
Ouvidoria: 0800 725 7474
Help Desk CAIXA: 0800 72 6 0104
