Extrato por período
Cliente:	CONDOMINIO XXXXXXX
Conta: XXXX / XXX / XXXXXXXX-X
Mês:	Setembro/2017
Período:	1 - 30

Extrato
Data Mov.	Nr. Doc.	Histórico	Valor	Saldo
	000000	SALDO ANTERIOR	0,00 	882,24 C
31/08/2017	290817	COB LOT DH	182,36 C	1.064,60 C
31/08/2017	310817	COB LOTERI	5,90 D	1.058,70 C
01/09/2017	300817	COB LOT DH	410,20 C	1.468,90 C
01/09/2017	010917	COB LOTERI	11,80 D	1.457,10 C
04/09/2017	310817	COB LOT DH	636,16 C	2.093,26 C
04/09/2017	902306	CHEQ COMP	700,00 D	1.393,26 C
04/09/2017	040917	COB LOTERI	17,70 D	1.375,56 C
05/09/2017	010917	COB AUTOAT	170,50 C	1.546,06 C
05/09/2017	010917	COB LOT DH	1.494,05 C	3.040,11 C
05/09/2017	010917	COB COMPE	624,15 C	3.664,26 C
05/09/2017	001550	CRED.AUTOR	16.000,00 C	19.664,26 C
05/09/2017	902303	CHEQUE SAC	2.839,00 D	16.825,26 C
05/09/2017	902304	CHEQUE SAC	1.392,49 D	15.432,77 C
05/09/2017	902308	CHEQUE SAC	1.365,40 D	14.067,37 C
05/09/2017	902309	CHEQUE SAC	594,72 D	13.472,65 C
05/09/2017	902310	CHEQUE SAC	1.326,95 D	12.145,70 C
05/09/2017	902311	CHEQUE SAC	577,07 D	11.568,63 C
05/09/2017	902312	CHEQUE SAC	1.250,90 D	10.317,73 C
05/09/2017	902313	CHEQUE SAC	641,87 D	9.675,86 C
05/09/2017	902314	CHEQUE SAC	977,15 D	8.698,71 C
05/09/2017	902315	CHEQUE SAC	610,63 D	8.088,08 C
05/09/2017	902316	CHEQUE SAC	508,03 D	7.580,05 C
05/09/2017	902318	CHEQUE SAC	1.667,86 D	5.912,19 C
05/09/2017	902319	CHEQUE SAC	731,89 D	5.180,30 C
05/09/2017	902320	CHEQUE SAC	908,47 D	4.271,83 C
05/09/2017	902321	CHEQUE SAC	1.134,92 D	3.136,91 C
05/09/2017	050917	COB AUTOAT	5,90 D	3.131,01 C
05/09/2017	050917	COB LOTERI	47,20 D	3.083,81 C
05/09/2017	050917	COB COMPE	17,70 D	3.066,11 C
06/09/2017	040917	COB AUTOAT	385,10 C	3.451,21 C
06/09/2017	040917	COB INTERN	177,85 C	3.629,06 C
06/09/2017	040917	COB C BANC	192,55 C	3.821,61 C
06/09/2017	040917	COB LOT DH	1.376,53 C	5.198,14 C
06/09/2017	040917	COB COMPE	533,55 C	5.731,69 C
06/09/2017	902307	CHEQ COMP	75,00 D	5.656,69 C
06/09/2017	060917	COB INTERN	5,90 D	5.650,79 C
06/09/2017	060917	COB COMPE	17,70 D	5.633,09 C
06/09/2017	060917	COB LOTERI	41,30 D	5.591,79 C
06/09/2017	060917	COB C BANC	5,90 D	5.585,89 C
06/09/2017	060917	COB AUTOAT	11,80 D	5.574,09 C
08/09/2017	050917	COB COMPE	1.067,10 C	6.641,19 C
08/09/2017	050917	COB LOT DH	398,30 C	7.039,49 C
08/09/2017	050917	COB INTERN	526,20 C	7.565,69 C
08/09/2017	080917	COB COMPE	35,40 D	7.530,29 C
08/09/2017	080917	COB LOTERI	11,80 D	7.518,49 C
08/09/2017	080917	COB INTERN	17,70 D	7.500,79 C
11/09/2017	060917	COB INTERN	185,20 C	7.685,99 C
11/09/2017	060917	COB COMPE	1.408,10 C	9.094,09 C
11/09/2017	060917	COB LOT DH	1.484,63 C	10.578,72 C
